Bezeichnung;Entwickler;Preis;Erscheinungsjahr;Genre;Beschreibung;Cover
Sea of Thieves;Rare;62.2;2018;Adventure;Tauche ein in die Welt von Sea of Thieves - voller Piraten, unerwarteten Gefahren und lohnenswerter Beutezüge! Sei der Pirat, der du schon immer sein wolltest und erlebe mit deinen Freunden einzigartige Abenteuer. Stelle deinen ganz persönlichen Piraten-Kodex auf und setz die Segel gen Horizont mit einer sich immer verändernden Crew aus anderen Mitspielern. In Sea of Thieves erlebst du einzigartiges Koop-Gameplay: Die Kombination aus spannenden Erkundungen mit Freunden und der immerwährenden Gefahr ausgehend von sowohl gegnerischen Spielern als auch der Spielwelt selbst, machen Sea of Thieves zu einem völlig neuen Erlebnis!;seaOfThieves.jpg
Dark Souls;From Software;19.39;2011;Rollenspiel;"Feuer erlöschen und die Welt fällt in den Ruin. Entwickler FROMSOFTWARE und Game Director Hidetaka Miyazaki setzen mit DARK SOULS III ihre erfolgreiche und innovative Reihe fort. Alte und neue Fans werden sich in den für die Reihe typischen befriedigenden Gameplay und der immersiven Grafik verlieren. Jetzt bleibt nur die Glut zurück... Du bist der Unentfachte. Als Teil des Dark Souls™ III Season Pass kannst du dein Dark Souls™ III-Erlebnis jetzt mit dem DLC-Pack ""Die Aschen von Ariandel"" erweitern. Reise in die verschneite Welt von Ariandel und entdecke neue Gebiete, Bosse, Feinde, Waffen, Rüstungen, Zauber und mehr. Wirst du dich der Herausforderung stellen und dich erneut der Finsternis ergeben?";darkSouls.jpg
Star Wars: Battlefront II;EA Dice;41.15;2017;Action;Erleben Sie eine neue, packende Story-Kampagne, die die Brücke zwischen „Episode VI: Die Rückkehr der Jedi-Ritter” und „Episode VII: Das Erwachen der Macht” schlägt. Spektakuläre Online-Schlachten mit bis zu 40 anderen Spielern und zahlreiche Fahrzeugen und Raumschiffen sowie die berühmtesten Orten der gesamten Filmreihe bieten Star Wars-Flair pur. Spielen Sie gemeinsam mit einem Freund per Splitscreen-Modus kooperativ an einer Konsole und verbessern und spezialisieren Sie Ihren Helden durch einzigartige Modifikationen. Erwecken Sie die ultimative Star Wars-Fantasie zum Leben!;starWarsBattlefrontII.jpg
Destiny;Bungie;42.33;2017;Adventure;Bungie, die Schöpfer von Halo®, und Activision, der Publisher von Call of Duty®, präsentieren Destiny - der nächste Schritt in der Evolution des Computer-Entertainments in Form eines epischen Adventures, das mit nichts zu vergleichen ist, was die Spielewelt bisher gesehen hat. In Destiny wirst du zum Hüter der letzten Stadt auf Erden und trägst unglaubliche Kräfte in dir. Erkunde die alten Ruinen unseres Sonnensystems, von den roten Dünen des Mars bis zur üppigen Dschungelwelt der Venus. Besiege die Feinde der Erde. Finde all das wieder, was wir verloren haben. Werde zur Legende.;destiny.jpg
For Honor;Ubisoft;27.04;2017;Action;In For Honor™, dem neuen Nahkampf-Action-Spiel, das von Ubisoft Montreal in Zusammenarbeit mit weiteren Ubisoft Studios entwickelt wird, beschreitet der Spieler einen Weg voller Zerstörung und kämpft auf dem Schlachtfeld um Ruhm, Ehre und ums Überleben. Die Spieler treten in diesem chaotischen Krieg als Streiter der drei größten Krieger-Fraktionen an: Ritter, Wikinger oder Samurai. For Honor ist ein temporeiches und packendes Spiel, das Können und intuitives Verhalten der Spieler in einem bisher unbekannten Ausmaß erleben lässt. Das innovative Steuerungssystem The Art of Battle von For Honor gibt den Spielern die vollständige Kontrolle über ihren Helden. Jeder Held verfügt über seine ganz ureigenen Talente und Waffen, mit denen sich gegnerische Soldaten, Bogenschützen und Helden beseitigen lassen, die sich den Spielern in einem intensiven, glaubwürdigen Schlachtfeld in den Weg stellen. For Honor bietet einen aufregenden Mehrspieler-Modus als auch eine fesselnde Einzelspieler-Kampagne. Das Spiel ist komplett online mit Freunden oder aber solo gegen die KI spielbar.;forHonor.jpg
ARK: Survival Evolved;Studio Wildcard;54.9;2017;Adventure;"Bereiten Sie sich auf das ultimative Dinosaurierabenteuer vor! Sie sind auf einer geheimnisvollen prähistorischen Insel gestrandet. Erkunden ihre Biome und jagen, sammeln, stellen Werkzeuge her, pflanzen Feldfrüchte an und bauen Unterschlüpfe, um zu überleben. Mit List und Geschick können Sie in ""ARK"" Dinosaurier und andere urzeitliche Kreaturen töten, zähmen, ausbrüten und sogar reiten. Entwickeln Sie Ihre Technologie von primitiven Steinwerkzeugen zu Laserkanonen auf einem T-Rex weiter, während Sie sich online mit hunderten Spielern zusammenschließen oder die Reise allein antreten. Features: Fangen und zähmen Sie Dinosaurier: Entdecken Sie über 100 verschiedene Dinosaurier und prähistorische Kreaturen auf der Insel. Versuchen Sie sie zu zähmen und vergrößern mit ihnen die Dinoherde Ihres Stammes. Überleben ist alles: Hunger, Durst, Sicherheit und Schutz vor dem Wetter suchen sind Teil des Spiels. Wenn Sie zu weit laufen, wird Ihnen nicht nur die Kraft ausgehen, Sie werden auch schnell Hunger und Durst bekommen. Das Wetter basiert auf echten Klimata, daher sollten Sie sich vor Regen und Schnee schützen und aus sonnigen Tagen das Beste machen. Ernten, jagen und bauen: Fällen Sie Bäume und errichten ein neues Zuhause, das Sie zu einer riesigen Dinosaurierbasis ausbauen können. Jagen Sie nach Fleisch, sammeln Pflanzen oder legen Ihren eigenen Garten an! Sammeln Sie Ressourcen, passen alles an: Dank eines umfangreichen Produktionssystems können Sie die gesammelten Materialien der Insel kombinieren und die Farben, Texturen, Formen und den Stil der Wände Ihres Zuhauses, der Rüstung Ihres Charakters, der Waffen und vieles mehr modifizieren. Erkunden Sie die Insel: Lösen Sie das Rätsel um ARK, erkunden eine riesige Insel und finden die Notizbücher des Entdeckers, die viele Hinweise beinhalten! Bahnen Sie sich Ihren Weg zum Endgegner und finden heraus, warum Sie auf dieser urzeitlichen Insel gelandet sind.";arkSurvivalEvolved.jpg
Final Fantasy XV;Sqaure Enix;54.9;2016;Rollenspiel;Betreten Sie die Welt von FINAL FANTASY XV und erleben Sie unglaubliche, actionreiche Kämpfe auf Ihrer Entdeckungsreise. Sie sind Noctis, der Kronprinz des Königreichs Lucis, mit der Mission, Ihre Heimat aus den Klauen der imperialen Armee zu befreien. Reisen Sie durch die atemberaubende Welt von Eos und begegnen Sie überlebensgroßen Bestien und gnadenlosen Feinden. Meistern Sie Waffen- und Magiefertigkeiten sowie die Kraft Ihrer Vorfahren, die in aufregenden Kämpfen das mühelose Teleportieren ermöglicht.;finalFantasyXV.jpg
World of Warcraft;Blizzard;70.55;2004;Rollenspiel;Azeroth wird von einem Sturm der Zerstörung heimgesucht. Dämonen der Brennenden Legion strömen in unsere Welt und läuten die Rückkehr des dunklen Titanen Sargeras ein, dem Verheerer der Welten. Während eine unaufhaltsame Welle der Vernichtung auf die Allianz und die Horde zurollt, müssen die Helden von Azeroth Erlösung in den Ruinen der Verheerten Inseln suchen – dem verlorenen Hochsitz der uralten Nachtelfenzivilisation und Geburtsstätte von Mythen, die bis zur Schöpfung der Welt selbst zurückgehen. Dort werden sie legendäre verbotene Kräfte meistern, um damit unaussprechliche Alpträume und unaufhaltbare Dämonenarmeen zur Strecke zu bringen und ihre Welt vor dem Joch eines ewig brennenden Schattens zu bewahren.;worldOfWarcraft.jpg
Minecraft;Mojang;25.86;2009;Gesellschaft;Wie sieht die Welt von Minecraft eigentlich aus? Das hängt ganz von dir ab – und das ist das Besondere an diesem wundervoll kreativen Spiel. Jeder Zentimeter in diesem Reich aus Blöcken kann zerstört und neu erbaut werden, ganz wie es dir beliebt. Die Werkzeuge, die du dafür benötigst, liegen dir quasi zu Füßen. Als Schöpfer stehen dir alle möglichen Materialien zur Verfügung. Fälle Bäume, um Gegenstände aus Holz zu fertigen. Baue Steine ab, um steinerne Strukturen zu bauen, oder baue Pfl anzen an und züchte Tiere, um sie im Handel mit Dorfbewohnern gegen andere nützliche Gegenstände zu tauschen. Du kannst Flüsse und Seen in deiner Welt so ausrichten, wie du es möchtest, um sie dir zunutze zu machen. Baue in die Höhe oder grabe dich in die Tiefe, wie es dir beliebt. Die Welt um dich herum hat eine zufällige Form aus verschiedenen Biomen, wie z. B. Wüste oder Dschungel und erstreckt sich kilometerweit in jede Richtung.;minecraft.jpg
Far Cry 5;Ubisoft;54.09;2018;Adventure;"Willkommen in Hope County, Montana. Dieser idyllische Ort ist das Zuhause einer freiheitsliebenden Gemeinde, die von einem fanatischen und an die Apokalypse glaubenden Kult terrorisiert wird. Angeführt vom charismatischen Propheten Joseph Seed und seinen treuen Geschwistern, den Herolden, hat der Kult namens ""Project at Eden's Gate"" schleichend die Kleinstadt und jeden Aspekt des alltäglichen Lebens übernommen. Als die Ankunft des Protagonisten den Kult dazu verleitet, die Region mit Gewalt unter ihre Kontrolle zu bringen, muss er sich erheben und ein Feuer des Widerstandes entfachen, um die Gemeinde zu befreien.";farCry5.jpg
The Elder Scrolls V: Skyrim;Bethesda Game Studios;5.87;2001;Rollenspiel;Die Drachen sind nach Tamriel zurückgekehrt! Nur die Schriftrollen der Altvorderen berichteten von ihrer Existenz. Die Zukunft der Provinz Himmelsrand und sogar des ganzen Kaiserreiches hängt am seidenen Faden. Doch die alten Prophezeihungen künden auch von einem Retter, dem Drachenblut: ein Held, der mit der Machgt der Stimme geboren wurde - und der Einzige, dre sich ihnen entgegenzustellen vermag.;theElderScrollsVSkyrim.jpg
Fortnite;Epic Games;0;2017;Action;Warum Schutz suchen? Bauen Sie sich ihn auf! Der Sturm kam ohne Vorwarnung. 98 % der Weltbevölkerung verschwanden - dann kamen die Monster. Stürzen Sie sich mit den verbleibenden Helden in den Kampf und halten den Sturm auf. Erkunden Sie ausgedehnte, zerstörbare Welten, in denen kein Spiel dem anderen gleicht. Errichten Sie riesige Festungen, stellen exotische Waffen her, sammeln Beute, und verbessern Ihre Helden. Willkommen zu Fortnite, dem neuen Bau-Actionspiel von Epic Games. DAS EARLY ACCESS-PAKET ENTHÄLT: Seltenes Startheldenpaket (8 Helden) Seltenes Startwaffenpaket (Enthält 4 Waffen / 1 Falle) Exklusive Gründerpistole 10 exklusive Bannersymbole im Spiel 24 tägliche Beutepiñata-Pakete 4 exklusive Gründer-Beutepiñata-Pakete 5 Sofort-Beutepiñata-Pakete 10 EP-Boosts 10 verschenkbare EP-Boosts für Freunde 50 zusätzliche Tresorraum-Slots Features: Rekrutieren Sie Ihre Verteidiger: Bilden Sie ein Team, bestehend aus vier Charakterklassen, aus und nutzen ihre Fähigkeiten im Kampf gegen die Monster Horden Bauen Sie Festungen: Das revolutionäre Bausystem erlaubt es Ihnen extravagante Stützpunkte zu kreieren. Platzieren Sie Scharfschützen, bauen tödliche Fallen uvm. Bauen Sie Waffen: Nutzen Sie Ihre gesammelten Ressourcen und stellen hunderte Schusswaffen, Schwerter und Gadgets her Spielen Sie mit Freunden: Stellen Sie sich dem Sturm im Online-Koop mit bis zu vier Spielern.;fortnite.jpg
NBA 2K18;Visual Concepts;49.9;2017;Sport;Der am höchsten bewertete* jährliche Sporttitel dieser Konsolengeneration kehrt mit NBA 2K18 zurück und setzt die Tradition der Reihe als “Gold-Standard für Basketball-Simulationen” (Sports Gamers Online) mit einzigartigem Realismus und echtem NBA-Gameplay fort.;nba2K18.jpg
Kingdom Come: Deliverance;Warhorse Studios;41.15;2018;Rollenspiel;Ein realistisches First-Person-Rollenspiel, das Sie ins mittelalterliche Europa entführt. Wir schreiben das Jahr 1403. Böhmen liegt im Herzen Europas und ist reich an Kultur, Silber und imposanten Burgen. Das Spiel basiert auf einer wahren Historie - einer Geschichte über Könige, Erben, ein Königreich, Belagerungen und blutige Schlachten. Kaiser Karl IV. ist tot und sein ältester Sohn Wenzel IV. wird zum König von Böhmen. Wenzels erzürnter Halbbruder Sigismund nimmt ihn gefangen und fällt mit seiner mächtigen Streitmacht in das Land ein.;kingdomComeDeliverance.jpg
Metal Gear Survive;Konami;49.9;2018;Action;Die Ereignisse von METAL GEAR SOLID V: THE PHANTOM PAIN spielen neun Jahre nach MGSV: Ground Zeroes und dem Fall von Mother Base. Snake, auch bekannt als Big Boss, erwacht aus einem neun Jahr währenden Koma. Die Story des Spiels setzt im Jahr 1984 an: Der Kalte Krieg ist noch immer Kulisse, und eine globalen Krise zeichnet sich am Horizont ab. Getrieben von dem Wunsch nach Rache, führt Snakes Reise ihn in eine Welt, in der er eine schattenhafte Gruppe namens XOF verfolgt.;metalGearSurvive.jpg
Wolfenstein II: The New Colossus;MachineGames;27.04;2017;Action;Dein Sieg über General Totenkopf war nur von kurzer Dauer. Das Regime hält die Welt weiterhin in seinem Würgegriff. Jetzt liegt es an dir, erneut in die Rolle von B.J. „Terror-Billy“ Blazkowicz zu schlüpfen, die mutigsten Anführer des zerschlagenen Widerstands zu vereinen und gemeinsam dem Regime entgegenzutreten. An ikonischen Schauplätzen wie der Kleinstadt Roswell in New Mexico, den Sumpflandschaften und Boulevards von New Orleans oder dem durch eine nukleare Explosion zerstörten Manhattan sagst du dem Bösen den Kampf an.;wolfensteinIITheNewColossus.jpg
Need for Speed Payback;Ghost Games;38.8;2017;Simulation;"""Payback"" spielt in der Unterwelt von Fortune Valley. Nachdem deine Crew auseinandergerissen wurde, findet ihr wieder zusammen, um euch am ""House"" zu rächen – einem skrupellosen Kartell, das die Casinos, Kriminellen und Cops der Stadt beherrscht. In diesem korrupten Spielerparadies sind die Einsätze hoch und das House gewinnt immer. Stelle dich in der Rolle von Tyler (alias ""Racer""), Mac (alias ""Showman"") und Jess (alias ""Wheelman"") einer Vielzahl von Herausforderungen und Events. Jeder Fahrer muss Rennen, Missionen und Herausforderungen meistern, um sich den Respekt der Underground-Szene des Valley zu verdienen – nur so können sie am ultimativen Rennen teilnehmen und das House letzten Endes zu Fall bringen.";needForSpeedPayback.jpg
Fifa 17;EA Canada;20;2016;Sport;FIFA 17 – erstmals powered by Frostbite™. FIFA 17 sorgt dank der neuen Engine für mitreißende und noch realistischere Fußballerlebnisse, wie dem neuen Story-Modus The Journey, in dem du dir als Nachwuchstalent Alex Hunter den Traum vom Leben als Fußballprofi erfüllen kannst. Darüber hinaus verändern umfassende Gameplay-Innovationen die Art und Weise, wie die Spieler auf dem Platz agieren, sich bewegen und in Zweikämpfen verhalten, Standards ausführen und neue Angriffstechniken einsetzen, sodass du jederzeit die volle Kontrolle über das Geschehen auf dem Platz hast.;fifa17.jpg
Lost Sphear;Tokyo RPG Factory;44.72;2017;Rollenspiel;In Lost Shear betreten Spieler eine Welt, in der alles aus Erinnerungen besteht. Wenn eine Erinnerung in Vergessenheit gerät, verschwindet ein Teil der Welt ins weiße Nichts. Die Bewohner kennen dieses Phänomen als LOST. Kanata, ein junger Schwertkämpfer aus Elgarthe, verfügt als einziger über die mysteriöse Macht der Erinnerung und will mit dieser Gabe die Welt, die nach und nach im Nichts versinkt, wiederaufbauen.;lostSphear.jpg
